,Unnamed: 0,event,cosmo,url,filename,catalog
77,77,GW190728_064510,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
78,78,GW190731_140936,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
79,79,GW190731_140936,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
80,80,GW190803_022701,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
81,81,GW190803_022701,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
82,82,GW190805_211137,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
83,83,GW190805_211137,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
84,84,GW190814,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
85,85,GW190814,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
86,86,GW190828_063405,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
