,event,catalog,url,filename,cosmo
141,GW200208_130117,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200208_130117_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,False
143,GW200208_222617,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200208_222617_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200208_222617_PEDataRelease_mixed_cosmo.h5,True
145,GW200208_222617,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200208_222617_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,False
147,GW200209_085452,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200209_085452_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200209_085452_PEDataRelease_mixed_cosmo.h5,True
149,GW200209_085452,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200209_085452_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,False
151,GW200210_092254,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200210_092254_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200210_092254_PEDataRelease_mixed_cosmo.h5,True
153,GW200210_092254,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200210_092254_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,False
155,GW200216_220804,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200216_220804_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200216_220804_PEDataRelease_mixed_cosmo.h5,True
157,GW200216_220804,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200216_220804_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,False
159,GW200219_094415,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200219_094415_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200219_094415_PEDataRelease_mixed_cosmo.h5,True
161,GW200219_094415,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200219_094415_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,False
163,GW200220_061928,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200220_061928_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200220_061928_PEDataRelease_mixed_cosmo.h5,True
